All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              10     
  # contig misassemblies     10     
    # c. relocations         10     
    # c. translocations      0      
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       10     
Misassembled contigs length  29335  
# local misassemblies        22     
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     8      
# mismatches                 22411  
# indels                     454    
    # indels (<= 5 bp)       394    
    # indels (> 5 bp)        60     
Indels length                1470   
