# BUSCO version is: 5.4.4 
# The lineage dataset is: clostridiales_odb10 (Creation date: 2020-03-06, number of genomes: 347, number of BUSCOs: 264)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
329at186802	Complete	1	100948	104433	+	1485.9	904	https://www.orthodb.org/v10?query=329at186802	DNA-directed RNA polymerase subunit beta'
494at186802	Complete	1	2897618	2900734	-	929.4	733	https://www.orthodb.org/v10?query=494at186802	isoleucine--tRNA ligase
741at186802	Complete	1	97190	100906	+	1509.5	878	https://www.orthodb.org/v10?query=741at186802	DNA-directed RNA polymerase subunit beta
1036at186802	Complete	1	2788386	2790806	-	770.0	616	https://www.orthodb.org/v10?query=1036at186802	leucine--tRNA ligase
1863at186802	Complete	1	3910559	3913384	-	1275.9	780	https://www.orthodb.org/v10?query=1863at186802	UvrABC system protein A
2372at186802	Complete	1	1341751	1345305	+	897.4	1244	https://www.orthodb.org/v10?query=2372at186802	chromosome segregation protein SMC
2485at186802	Complete	1	3665667	3668333	-	1066.0	685	https://www.orthodb.org/v10?query=2485at186802	valine--tRNA ligase
2667at186802	Complete	1	4010299	4013685	-	1117.0	793	https://www.orthodb.org/v10?query=2667at186802	Transcription-repair-coupling factor
2760at186802	Complete	1	3061366	3063573	-	743.8	601	https://www.orthodb.org/v10?query=2760at186802	(p)ppGpp synthetase
2963at186802	Complete	1	1379723	1382362	+	760.3	581	https://www.orthodb.org/v10?query=2963at186802	alanine--tRNA ligase
2980at186802	Complete	1	1218241	1220889	+	795.5	614	https://www.orthodb.org/v10?query=2980at186802	DNA polymerase I
3290at186802	Complete	1	2657274	2659901	-	1020.3	720	https://www.orthodb.org/v10?query=3290at186802	pyruvate, phosphate dikinase
4260at186802	Complete	1	3913403	3915373	-	946.2	564	https://www.orthodb.org/v10?query=4260at186802	excinuclease ABC subunit B
4395at186802	Complete	1	1418224	1420335	+	851.5	559	https://www.orthodb.org/v10?query=4395at186802	polyribonucleotide nucleotidyltransferase
4896at186802	Complete	1	2322496	2324319	+	711.1	510	https://www.orthodb.org/v10?query=4896at186802	GTP-binding protein
4949at186802	Duplicated	1	196342	199017	+	1074.3	706	https://www.orthodb.org/v10?query=4949at186802	Protein translocase subunit SecA
4949at186802	Duplicated	1	3127675	3130020	-	970.9	677	https://www.orthodb.org/v10?query=4949at186802	Protein translocase subunit SecA
5938at186802	Complete	1	2113788	2116631	-	791.8	684	https://www.orthodb.org/v10?query=5938at186802	DNA mismatch repair protein MutS
6880at186802	Complete	1	4201755	4203650	-	801.0	510	https://www.orthodb.org/v10?query=6880at186802	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
7590at186802	Complete	1	3908483	3910300	-	439.2	407	https://www.orthodb.org/v10?query=7590at186802	excinuclease ABC subunit C
7867at186802	Complete	1	1370436	1372523	+	605.1	533	https://www.orthodb.org/v10?query=7867at186802	DNA topoisomerase I
7940at186802	Complete	1	2832770	2834830	-	856.9	623	https://www.orthodb.org/v10?query=7940at186802	ATP-dependent DNA helicase RecG
8349at186802	Complete	1	1296273	1298138	+	611.4	464	https://www.orthodb.org/v10?query=8349at186802	1-deoxy-D-xylulose-5-phosphate synthase
8824at186802	Complete	1	3559766	3561295	-	598.8	423	https://www.orthodb.org/v10?query=8824at186802	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
8913at186802	Complete	1	200283	202424	+	897.3	604	https://www.orthodb.org/v10?query=8913at186802	YqgF/RNase H-like domain
9828at186802	Complete	1	2715308	2717155	-	958.7	596	https://www.orthodb.org/v10?query=9828at186802	Chaperone protein DnaK
10283at186802	Complete	1	2576070	2577569	+	471.3	398	https://www.orthodb.org/v10?query=10283at186802	IMP dehydrogenase
11595at186802	Complete	1	3057366	3058628	-	291.9	334	https://www.orthodb.org/v10?query=11595at186802	histidine--tRNA ligase
11876at186802	Complete	1	4070521	4072050	-	514.2	362	https://www.orthodb.org/v10?query=11876at186802	lysine--tRNA ligase
12184at186802	Complete	1	845466	847166	+	507.3	491	https://www.orthodb.org/v10?query=12184at186802	arginine--tRNA ligase
12978at186802	Complete	1	2723398	2725203	-	878.8	516	https://www.orthodb.org/v10?query=12978at186802	elongation factor 4
13102at186802	Complete	1	1150034	1153861	+	423.1	564	https://www.orthodb.org/v10?query=13102at186802	helicase-exonuclease AddAB subunit AddA
14014at186802	Complete	1	1438805	1440250	+	558.2	380	https://www.orthodb.org/v10?query=14014at186802	adenylosuccinate lyase
14022at186802	Complete	1	2938915	2940270	-	219.7	250	https://www.orthodb.org/v10?query=14022at186802	UDP-N-acetylmuramoylalanine--D-glutamate ligase
14032at186802	Complete	1	86028	87425	+	462.0	382	https://www.orthodb.org/v10?query=14032at186802	cysteine--tRNA ligase
14633at186802	Complete	1	2919230	2920555	-	536.3	365	https://www.orthodb.org/v10?query=14633at186802	GTPase Der
14746at186802	Duplicated	1	23138	24409	+	493.3	360	https://www.orthodb.org/v10?query=14746at186802	serine--tRNA ligase
14746at186802	Duplicated	1	3197914	3199185	-	492.9	360	https://www.orthodb.org/v10?query=14746at186802	serine--tRNA ligase
16887at186802	Complete	1	4184023	4185312	-	414.1	338	https://www.orthodb.org/v10?query=16887at186802	Adenylosuccinate synthetase
17044at186802	Complete	1	2941298	2942671	-	273.5	267	https://www.orthodb.org/v10?query=17044at186802	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
17323at186802	Complete	1	2834908	2836551	-	425.8	379	https://www.orthodb.org/v10?query=17323at186802	dihydroxyacetone kinase
17710at186802	Complete	1	4077572	4079542	-	721.7	434	https://www.orthodb.org/v10?query=17710at186802	ATP-dependent zinc metalloprotease FtsH
17947at186802	Complete	1	295305	296555	+	681.8	415	https://www.orthodb.org/v10?query=17947at186802	phosphoribosylamine--glycine ligase
18042at186802	Complete	1	2124256	2125692	-	421.4	297	https://www.orthodb.org/v10?query=18042at186802	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
18183at186802	Complete	1	1347079	1348431	+	506.7	366	https://www.orthodb.org/v10?query=18183at186802	signal recognition particle protein
