#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig00136_1        -            357 1592033at2           -            393  4.1e-131  436.5   0.3   1   1  7.7e-134  5.4e-131  436.2   0.3    80   380     1   318     1   328 0.93 # 1 # 1071 # 1 # ID=136_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.671
contig00656_1        -            407 1592033at2           -            393   7.8e-13   47.1   0.0   1   1   1.9e-15   1.4e-12   46.3   0.0   193   374   158   355   148   374 0.81 # 127 # 1347 # -1 # ID=656_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.653
contig00142_1        -            189 1592033at2           -            393   8.7e-08   30.5   0.0   1   2   3.6e-10   2.5e-07   29.0   0.0   198   246     6    55     2    68 0.84 # 2 # 568 # -1 # ID=142_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.635
contig00142_1        -            189 1592033at2           -            393   8.7e-08   30.5   0.0   2   2      0.54   3.8e+02   -1.2   0.1   274   307   110   143    93   164 0.73 # 2 # 568 # -1 # ID=142_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.635
contig02441_1        -             29 1592033at2           -            393   2.9e-07   28.8   0.0   1   1   4.1e-10   2.9e-07   28.8   0.0   194   218     2    26     1    29 0.92 # 3 # 89 # -1 # ID=2441_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
contig01324_1        -             48 1592033at2           -            393   2.2e-06   25.9   0.0   1   1   3.1e-09   2.2e-06   25.9   0.0    22    64     6    48     1    48 0.91 # 3 # 146 # -1 # ID=1324_1;partial=10;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.653
contig02075_2        -            285 1592033at2           -            393     4e-06   25.0   0.0   1   1   8.8e-09   6.2e-06   24.4   0.0   170   250   194   273   188   276 0.90 # 202 # 1056 # 1 # ID=2075_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.643
contig01645_3        -            129 1592033at2           -            393   0.00012   20.2   0.0   1   1     2e-07   0.00014   19.9   0.0   196   291    16   113    11   121 0.78 # 949 # 1335 # 1 # ID=1645_3;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.651
contig00375_1        -             81 1592033at2           -            393    0.0017   16.4   0.1   1   1   2.4e-06    0.0017   16.4   0.1   196   219     5    28     2    65 0.78 # 2 # 244 # -1 # ID=375_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.679
contig00209_3        -            216 1592033at2           -            393      0.01   13.8   0.0   1   1   2.2e-05     0.016   13.2   0.0   196   219    33    56    29    85 0.88 # 946 # 1593 # 1 # ID=209_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.654
contig01733_2        -            205 1592033at2           -            393     0.018   13.0   0.0   1   2      0.54   3.8e+02   -1.2   0.0   196   216     9    29     5    44 0.81 # 657 # 1271 # 1 # ID=1733_2;partial=01;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
