# BUSCO version is: 5.4.4 
# The lineage dataset is: pseudomonadales_odb10 (Creation date: 2020-03-06, number of genomes: 159, number of BUSCOs: 782)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
207at72274	Missing
208at72274	Fragmented	contig00217	1	2571	+	1534.7	773	https://www.orthodb.org/v10?query=208at72274	DNA-directed RNA polymerase subunit beta
209at72274	Complete	contig00131	578	5023	+	2303.5	1261	https://www.orthodb.org/v10?query=209at72274	Glutamate synthase
299at72274	Fragmented	contig00676	37	2502	+	1210.3	698	https://www.orthodb.org/v10?query=299at72274	ATP-dependent helicase
391at72274	Missing
395at72274	Missing
436at72274	Fragmented	contig00507	1	1488	-	898.2	431	https://www.orthodb.org/v10?query=436at72274	carbamoyl phosphate synthase large subunit
457at72274	Complete	contig00265	1	3675	+	863.3	764	https://www.orthodb.org/v10?query=457at72274	RecBCD enzyme subunit RecB
543at72274	Missing
606at72274	Complete	contig00472	2	3004	+	1363.9	810	https://www.orthodb.org/v10?query=606at72274	Transcription-repair-coupling factor
712at72274	Fragmented	contig02369	2	901	-	361.9	282	https://www.orthodb.org/v10?query=712at72274	translocation/assembly module TamB
813at72274	Fragmented	contig00980	285	1997	+	949.8	470	https://www.orthodb.org/v10?query=813at72274	valine--tRNA ligase
865at72274	Missing
927at72274	Complete	contig00324	677	3568	+	1195.7	747	https://www.orthodb.org/v10?query=927at72274	Ribonucleoside-diphosphate reductase
995at72274	Missing
1004at72274	Complete	contig00190	799	3747	-	1028.0	1041	https://www.orthodb.org/v10?query=1004at72274	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
1036at72274	Complete	contig00209	1857	4283	-	1072.6	680	https://www.orthodb.org/v10?query=1036at72274	DNA polymerase I
1067at72274	Missing
1242at72274	Fragmented	contig00855	134	2200	+	1174.5	596	https://www.orthodb.org/v10?query=1242at72274	aconitate hydratase B
1384at72274	Complete	contig00083	1490	4096	+	1457.2	760	https://www.orthodb.org/v10?query=1384at72274	DNA topoisomerase I
1440at72274	Complete	contig00301	394	3144	-	1460.4	799	https://www.orthodb.org/v10?query=1440at72274	Protein translocase subunit SecA
1456at72274	Fragmented	contig01062	3	1892	-	554.4	464	https://www.orthodb.org/v10?query=1456at72274	exodeoxyribonuclease V subunit gamma
1471at72274	Missing
1600at72274	Fragmented	contig00733	1	2394	+	1190.9	662	https://www.orthodb.org/v10?query=1600at72274	DNA polymerase III subunit alpha
1634at72274	Complete	contig00222	539	3370	+	1560.9	821	https://www.orthodb.org/v10?query=1634at72274	2-oxoglutarate dehydrogenase E1 component
1707at72274	Complete	contig00024	1538	4255	+	1231.5	713	https://www.orthodb.org/v10?query=1707at72274	NADH-quinone oxidoreductase
1753at72274	Complete	contig00519	313	2886	+	1076.8	695	https://www.orthodb.org/v10?query=1753at72274	aminopeptidase N
1843at72274	Complete	contig00046	5028	7742	-	997.5	646	https://www.orthodb.org/v10?query=1843at72274	ribonuclease R
