#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig00757_3        -            130 67623at72274         -            106   2.8e-67  222.6   1.1   1   1   1.6e-70   3.4e-67  222.4   1.1     1   106    19   129    19   129 0.98 # 1169 # 1558 # -1 # ID=757_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.628
contig02904_1        -            218 67623at72274         -            106   0.00041   19.6   4.1   1   2   0.00024       0.5    9.7   0.7    12    48    60    96    50   123 0.83 # 3 # 656 # 1 # ID=2904_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.714
contig02904_1        -            218 67623at72274         -            106   0.00041   19.6   4.1   2   2    0.0001      0.22   10.8   0.1    13    57   143   187   137   205 0.81 # 3 # 656 # 1 # ID=2904_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.714
contig02556_1        -            271 67623at72274         -            106     0.021   14.1   8.2   1   3      0.15   3.2e+02    0.7   0.2    13    34    34    55    27    98 0.62 # 1 # 813 # -1 # ID=2556_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.700
contig02556_1        -            271 67623at72274         -            106     0.021   14.1   8.2   2   3     0.005        11    5.4   0.1    13    57   116   160   110   179 0.80 # 1 # 813 # -1 # ID=2556_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.700
contig02556_1        -            271 67623at72274         -            106     0.021   14.1   8.2   3   3   6.5e-05      0.14   11.5   0.4    13    58   198   243   192   261 0.81 # 1 # 813 # -1 # ID=2556_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.700
contig02574_1        -            268 67623at72274         -            106      0.34   10.2   8.8   1   3    0.0084        18    4.7   0.5    13    50    29    66    21    88 0.82 # 3 # 806 # 1 # ID=2574_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.690
contig02574_1        -            268 67623at72274         -            106      0.34   10.2   8.8   2   3    0.0078        16    4.8   0.3    13    35   111   133   105   167 0.75 # 3 # 806 # 1 # ID=2574_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.690
contig02574_1        -            268 67623at72274         -            106      0.34   10.2   8.8   3   3    0.0086        18    4.7   0.1    10    34   191   214   183   244 0.83 # 3 # 806 # 1 # ID=2574_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.690
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/67623at72274.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/run_pseudomonadales_odb10/hmmer_output/67623at72274.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/67623at72274.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  8 17:01:43 2023
# [ok]
