#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1_199                -            301 35070at186802        -            252  1.8e-101  336.2   8.0   1   1  1.1e-103  3.4e-101  335.3   8.0     3   252    10   298     8   298 0.90 # 254386 # 255288 # 1 # ID=1_199;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.327
1_3127               -            370 35070at186802        -            252   4.9e-38  128.4   4.2   1   1   1.5e-39   4.8e-37  125.1   4.2     2   252     9   289     8   289 0.75 # 3572114 # 3573223 # -1 # ID=1_3127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.365
1_2037               -            362 35070at186802        -            252   4.9e-31  105.4   0.7   1   1   4.4e-33   1.4e-30  103.9   0.7     3   250     6   281     4   283 0.82 # 2270958 # 2272043 # -1 # ID=1_2037;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.328
1_1459               -            253 35070at186802        -            252   1.3e-07   28.6   0.0   1   2   1.7e-07   5.5e-05   20.1   0.0   178   229    62   113    59   119 0.93 # 1690449 # 1691207 # 1 # ID=1_1459;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.316
1_1459               -            253 35070at186802        -            252   1.3e-07   28.6   0.0   2   2    0.0029      0.91    6.2   0.0   182   210   188   216   183   250 0.68 # 1690449 # 1691207 # 1 # ID=1_1459;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.316
1_1061               -            310 35070at186802        -            252   1.6e-07   28.4   4.0   1   1   1.1e-09   3.4e-07   27.3   4.0   130   225   100   196    68   217 0.76 # 1272106 # 1273035 # 1 # ID=1_1061;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.357
1_1149               -            339 35070at186802        -            252   1.6e-07   28.4   5.6   1   3      0.13        39    0.9   0.1   194   215    93   114    84   144 0.77 # 1359854 # 1360870 # 1 # ID=1_1149;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.333
1_1149               -            339 35070at186802        -            252   1.6e-07   28.4   5.6   2   3   1.4e-05    0.0043   13.9   0.4   168   220   184   235   145   261 0.83 # 1359854 # 1360870 # 1 # ID=1_1149;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.333
1_1149               -            339 35070at186802        -            252   1.6e-07   28.4   5.6   3   3   4.7e-06    0.0015   15.4   0.2   177   243   246   313   232   324 0.82 # 1359854 # 1360870 # 1 # ID=1_1149;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.333
1_1458               -            241 35070at186802        -            252   3.7e-06   23.9   1.1   1   3      0.26        82   -0.2   0.0     4    44    27    65    25    67 0.76 # 1689745 # 1690467 # 1 # ID=1_1458;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.302
1_1458               -            241 35070at186802        -            252   3.7e-06   23.9   1.1   2   3     6e-07   0.00019   18.3   0.5   177   234    61   119    52   132 0.83 # 1689745 # 1690467 # 1 # ID=1_1458;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.302
1_1458               -            241 35070at186802        -            252   3.7e-06   23.9   1.1   3   3     0.028       8.8    3.0   0.0   185   207   185   207   177   229 0.75 # 1689745 # 1690467 # 1 # ID=1_1458;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.302
1_3611               -            323 35070at186802        -            252     7e-06   23.0   1.7   1   2      0.14        45    0.7   0.5    89   103    92   109    77   169 0.52 # 4072653 # 4073621 # -1 # ID=1_3611;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.341
1_3611               -            323 35070at186802        -            252     7e-06   23.0   1.7   2   2   1.2e-07   3.6e-05   20.7   0.0   181   240   185   242   182   248 0.85 # 4072653 # 4073621 # -1 # ID=1_3611;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.341
1_2084               -            333 35070at186802        -            252   1.3e-05   22.1   0.1   1   1   7.6e-08   2.4e-05   21.3   0.1   190   236   185   230   171   245 0.81 # 2329029 # 2330027 # 1 # ID=1_2084;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.327
1_2362               -            339 35070at186802        -            252     0.002   15.0   5.5   1   3         1   3.2e+02   -2.1   0.0   192   214    91   113    84   133 0.77 # 2632170 # 2633186 # 1 # ID=1_2362;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
1_2362               -            339 35070at186802        -            252     0.002   15.0   5.5   2   3    0.0024      0.74    6.5   0.1   178   219   194   234   186   259 0.75 # 2632170 # 2633186 # 1 # ID=1_2362;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
1_2362               -            339 35070at186802        -            252     0.002   15.0   5.5   3   3   0.00015     0.047   10.5   0.7   186   224   255   294   244   333 0.65 # 2632170 # 2633186 # 1 # ID=1_2362;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
1_1615               -            257 35070at186802        -            252    0.0046   13.8   0.5   1   1   2.5e-05    0.0078   13.0   0.5   181   225   167   211   160   233 0.85 # 1865263 # 1866033 # 1 # ID=1_1615;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.345
1_544                -            201 35070at186802        -            252      0.32    7.7   8.7   1   3   0.00023     0.072    9.8   1.0   159   196     6    43     1    57 0.89 # 654195 # 654797 # 1 # ID=1_544;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
1_544                -            201 35070at186802        -            252      0.32    7.7   8.7   2   3      0.32     1e+02   -0.4   0.1    62    85    60    83    56    99 0.75 # 654195 # 654797 # 1 # ID=1_544;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
1_544                -            201 35070at186802        -            252      0.32    7.7   8.7   3   3     0.072        22    1.7   0.2    31    91   117   181   108   186 0.72 # 654195 # 654797 # 1 # ID=1_544;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
