#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1_1                  -            440 219876at2            -            282   3.1e-98  326.3   3.5   1   1  3.3e-100   1.1e-97  324.5   3.5    15   278   101   419    95   424 0.84 # 1 # 1320 # 1 # ID=1_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.301
1_2221               -            274 219876at2            -            282   1.1e-06   26.0   1.5   1   2   1.9e-07   6.4e-05   20.2   0.0    38    72    23    57    13    64 0.83 # 2481037 # 2481858 # -1 # ID=1_2221;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.307
1_2221               -            274 219876at2            -            282   1.1e-06   26.0   1.5   2   2     0.014       4.6    4.3   0.7   100   176   138   211   125   254 0.80 # 2481037 # 2481858 # -1 # ID=1_2221;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.307
1_2790               -            340 219876at2            -            282   1.5e-06   25.6   0.0   1   1   8.2e-09   2.8e-06   24.7   0.0    44   109    55   124    22   131 0.78 # 3153432 # 3154451 # -1 # ID=1_2790;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.340
1_3715               -            331 219876at2            -            282   4.1e-05   20.9   0.3   1   1   1.3e-06   0.00046   17.4   0.3    44   133   182   299   168   314 0.67 # 4181978 # 4182970 # 1 # ID=1_3715;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.264
1_659                -            468 219876at2            -            282   0.00019   18.6   0.1   1   2   3.3e-05     0.011   12.8   0.0    50    93    78   123    66   127 0.80 # 806212 # 807615 # -1 # ID=1_659;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.318
1_659                -            468 219876at2            -            282   0.00019   18.6   0.1   2   2     0.027       9.3    3.3   0.0   146   215   204   270   172   291 0.85 # 806212 # 807615 # -1 # ID=1_659;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.318
1_3336               -            360 219876at2            -            282   0.00037   17.7   0.0   1   2    0.0015      0.52    7.4   0.0    45    69    29    53     9    57 0.83 # 3769157 # 3770236 # -1 # ID=1_3336;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.283
1_3336               -            360 219876at2            -            282   0.00037   17.7   0.0   2   2   0.00092      0.31    8.1   0.0    47    81   215   249   205   267 0.76 # 3769157 # 3770236 # -1 # ID=1_3336;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.283
1_2357               -            664 219876at2            -            282   0.00086   16.5   0.1   1   2       0.4   1.4e+02   -0.5   0.0   121   153     7    40     3    56 0.76 # 2625035 # 2627026 # -1 # ID=1_2357;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.286
1_2357               -            664 219876at2            -            282   0.00086   16.5   0.1   2   2   1.6e-05    0.0054   13.9   0.0    15    69   316   370   308   375 0.83 # 2625035 # 2627026 # -1 # ID=1_2357;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.286
1_434                -            458 219876at2            -            282   0.00092   16.4   1.0   1   2     2e-05     0.007   13.5   0.0     5    68   119   182   115   189 0.80 # 523804 # 525177 # 1 # ID=1_434;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.287
1_434                -            458 219876at2            -            282   0.00092   16.4   1.0   2   2      0.17        57    0.7   0.2   163   209   342   387   325   434 0.70 # 523804 # 525177 # 1 # ID=1_434;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.287
1_3196               -            587 219876at2            -            282    0.0024   15.0   0.1   1   2   0.00013     0.046   10.8   0.0    35    68   283   315   255   320 0.83 # 3650581 # 3652341 # -1 # ID=1_3196;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.288
1_3196               -            587 219876at2            -            282    0.0024   15.0   0.1   2   2      0.12        42    1.1   0.0   166   210   479   523   464   528 0.79 # 3650581 # 3652341 # -1 # ID=1_3196;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.288
1_1747               -            606 219876at2            -            282     0.004   14.3   0.0   1   2   6.5e-05     0.022   11.9   0.0    48    88   198   240   187   249 0.77 # 1998653 # 2000470 # 1 # ID=1_1747;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.340
1_1747               -            606 219876at2            -            282     0.004   14.3   0.0   2   2       0.6     2e+02   -1.1   0.0   120   168   305   352   302   395 0.77 # 1998653 # 2000470 # 1 # ID=1_1747;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.340
1_2682               -            675 219876at2            -            282      0.03   11.5   1.5   1   3      0.32   1.1e+02   -0.2   0.4    73   118   174   221   170   237 0.80 # 2997543 # 2999567 # 1 # ID=1_2682;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.261
1_2682               -            675 219876at2            -            282      0.03   11.5   1.5   2   3   0.00047      0.16    9.0   0.0    20    71   333   384   263   387 0.85 # 2997543 # 2999567 # 1 # ID=1_2682;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.261
1_2682               -            675 219876at2            -            282      0.03   11.5   1.5   3   3       1.6   5.6e+02   -2.6   0.0   174   198   550   573   536   586 0.71 # 2997543 # 2999567 # 1 # ID=1_2682;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.261
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/219876at2.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op2/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op2/run_bacteria_odb10/hmmer_output/219876at2.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/219876at2.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op2/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  1 18:12:15 2023
# [ok]
