# BUSCO version is: 5.4.4 
# The lineage dataset is: bacteria_odb10 (Creation date: 2020-03-06, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	1	100948	104433	+	1731.8	1050	https://www.orthodb.org/v10?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	1	97190	100906	+	1307.7	803	https://www.orthodb.org/v10?query=9601at2	DNA-directed RNA polymerase subunit beta
26038at2	Fragmented	1	296580	300386	+	250.8	321	https://www.orthodb.org/v10?query=26038at2	phosphoribosylformylglycinamidine synthase
91428at2	Complete	1	1379723	1382362	+	546.2	540	https://www.orthodb.org/v10?query=91428at2	alanine--tRNA ligase
95696at2	Complete	1	3913403	3915373	-	751.8	476	https://www.orthodb.org/v10?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	1	2322496	2324319	+	490.0	438	https://www.orthodb.org/v10?query=143460at2	GTP-binding protein
182107at2	Complete	1	2723398	2725203	-	736.8	490	https://www.orthodb.org/v10?query=182107at2	elongation factor 4
219876at2	Complete	1	1	1320	+	326.3	263	https://www.orthodb.org/v10?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	1	1370436	1372523	+	520.2	479	https://www.orthodb.org/v10?query=223233at2	DNA topoisomerase I
226836at2	Complete	1	3055505	3057292	-	603.8	472	https://www.orthodb.org/v10?query=226836at2	aspartate--tRNA ligase
232152at2	Complete	1	4184023	4185312	-	314.0	282	https://www.orthodb.org/v10?query=232152at2	adenylosuccinate synthase
267682at2	Complete	1	290745	292112	+	270.2	282	https://www.orthodb.org/v10?query=267682at2	amidophosphoribosyltransferase
353391at2	Duplicated	1	3197914	3199185	-	409.3	358	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
353391at2	Duplicated	1	23138	24409	+	403.4	362	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
384865at2	Complete	1	1407699	1408853	+	188.9	186	https://www.orthodb.org/v10?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	1	1653288	1654496	+	296.4	302	https://www.orthodb.org/v10?query=402899at2	tyrosine--tRNA ligase
430176at2	Complete	1	3979127	3980521	-	580.4	359	https://www.orthodb.org/v10?query=430176at2	ATP synthase subunit beta
462069at2	Complete	1	3562076	3563278	-	173.4	207	https://www.orthodb.org/v10?query=462069at2	phosphoglycerate kinase
469058at2	Complete	1	826915	827934	+	411.5	295	https://www.orthodb.org/v10?query=469058at2	phenylalanine--tRNA ligase subunit alpha
504464at2	Complete	1	266725	268260	+	310.0	231	https://www.orthodb.org/v10?query=504464at2	GMP synthase 
505485at2	Complete	1	50648	52021	+	212.2	233	https://www.orthodb.org/v10?query=505485at2	DNA repair protein RadA
533698at2	Complete	1	3557887	3559233	-	389.3	296	https://www.orthodb.org/v10?query=533698at2	Enolase
662686at2	Complete	1	124042	124989	+	256.4	223	https://www.orthodb.org/v10?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	1	80304	82019	+	757.7	541	https://www.orthodb.org/v10?query=665824at2	proline--tRNA ligase
761140at2	Complete	1	4052228	4054165	-	195.1	313	https://www.orthodb.org/v10?query=761140at2	methionine--tRNA ligase
776861at2	Complete	1	1985332	1985982	+	255.7	199	https://www.orthodb.org/v10?query=776861at2	cytidylate kinase
837522at2	Complete	1	3981440	3982942	-	666.0	407	https://www.orthodb.org/v10?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	1	3897132	3898046	-	156.9	183	https://www.orthodb.org/v10?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	1	3153432	3154451	-	418.8	272	https://www.orthodb.org/v10?query=874197at2	Holliday junction DNA helicase RuvB
923547at2	Complete	1	292106	293182	+	416.8	299	https://www.orthodb.org/v10?query=923547at2	phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	1	295305	296555	+	635.7	410	https://www.orthodb.org/v10?query=932854at2	phosphoribosylamine--glycine ligase
932993at2	Complete	1	3778694	3779980	-	97.2	279	https://www.orthodb.org/v10?query=932993at2	trigger factor
961486at2	Complete	1	111516	112346	+	226.7	173	https://www.orthodb.org/v10?query=961486at2	Ribosomal protein L2
981870at2	Complete	1	2009246	2010325	+	265.3	265	https://www.orthodb.org/v10?query=981870at2	chorismate synthase
984717at2	Complete	1	2690167	2691060	-	222.6	211	https://www.orthodb.org/v10?query=984717at2	GTPase Era
1009041at2	Complete	1	2932280	2933440	-	255.1	217	https://www.orthodb.org/v10?query=1009041at2	cell division protein FtsZ
1024388at2	Complete	1	181453	182646	+	445.2	307	https://www.orthodb.org/v10?query=1024388at2	methionine adenosyltransferase
1036075at2	Complete	1	3908483	3910300	-	261.9	376	https://www.orthodb.org/v10?query=1036075at2	excinuclease ABC subunit C
1043239at2	Complete	1	2349146	2349850	-	171.4	156	https://www.orthodb.org/v10?query=1043239at2	Uridylate kinase
1049662at2	Complete	1	293762	295294	+	530.2	436	https://www.orthodb.org/v10?query=1049662at2	Bifunctional purine biosynthesis protein PurH
1054741at2	Complete	1	1378195	1379274	+	432.1	327	https://www.orthodb.org/v10?query=1054741at2	tRNA 2-thiouridine(34) synthase MnmA
1069591at2	Complete	1	2110837	2111772	-	146.8	188	https://www.orthodb.org/v10?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	1	1299103	1300782	+	280.1	442	https://www.orthodb.org/v10?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	1	1430846	1431892	+	396.7	260	https://www.orthodb.org/v10?query=1080436at2	Protein RecA
1093223at2	Complete	1	2938915	2940270	-	312.0	355	https://www.orthodb.org/v10?query=1093223at2	UDP-N-acetylmuramoylalanine-D-glutamate ligase
1132353at2	Complete	1	113052	113867	+	189.8	173	https://www.orthodb.org/v10?query=1132353at2	K Homology domain
1151822at2	Complete	1	2940289	2941254	-	257.7	257	https://www.orthodb.org/v10?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	1	1414688	1415593	+	121.0	124	https://www.orthodb.org/v10?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	1	123341	123964	+	193.8	163	https://www.orthodb.org/v10?query=1211060at2	30S ribosomal protein S4
1257362at2	Complete	1	207793	208809	+	239.1	233	https://www.orthodb.org/v10?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	1	3561307	3562050	-	336.6	245	https://www.orthodb.org/v10?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	1	109914	110543	+	178.8	161	https://www.orthodb.org/v10?query=1270636at2	50S ribosomal protein L3
1272633at2	Complete	1	2945657	2946592	-	137.2	167	https://www.orthodb.org/v10?query=1272633at2	16S rRNA (cytosine(1402)-N(4))-methyltransferase
1346419at2	Complete	1	2865799	2866998	-	336.3	288	https://www.orthodb.org/v10?query=1346419at2	phosphopantothenoylcysteine decarboxylase
1395197at2	Complete	1	2340624	2341628	-	119.4	154	https://www.orthodb.org/v10?query=1395197at2	Zinc metalloprotease
1398618at2	Complete	1	116777	117319	+	152.2	137	https://www.orthodb.org/v10?query=1398618at2	50S ribosomal protein L6
1419877at2	Complete	1	2917531	2918550	-	282.6	260	https://www.orthodb.org/v10?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	1	115570	116112	+	223.9	142	https://www.orthodb.org/v10?query=1456375at2	50S ribosomal protein L5
1470978at2	Complete	1	94610	95116	+	96.9	110	https://www.orthodb.org/v10?query=1470978at2	50S ribosomal protein L10
