#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1_2079               -            608 143460at2            -            439  1.1e-147  490.0   3.1   1   1  1.5e-144    7e-142  470.9   3.1     1   439     7   590     7   590 0.83 # 2322496 # 2324319 # 1 # ID=1_2079;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.327
1_2445               -            602 143460at2            -            439   4.2e-38  128.9   2.9   1   3   4.1e-40   1.9e-37  126.7   0.2     2   202     9   241     8   254 0.82 # 2723398 # 2725203 # -1 # ID=1_2445;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.335
1_2445               -            602 143460at2            -            439   4.2e-38  128.9   2.9   2   3      0.11        51    0.1   0.0   252   303   331   384   317   402 0.70 # 2723398 # 2725203 # -1 # ID=1_2445;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.335
1_2445               -            602 143460at2            -            439   4.2e-38  128.9   2.9   3   3     0.069        32    0.8   0.4   290   331   405   446   343   456 0.55 # 2723398 # 2725203 # -1 # ID=1_2445;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.335
1_76                 -            689 143460at2            -            439   2.9e-32  109.7   0.2   1   3   5.7e-27   2.7e-24   83.4   0.0     2   129    11   155    10   164 0.82 # 105787 # 107853 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
1_76                 -            689 143460at2            -            439   2.9e-32  109.7   0.2   2   3   2.3e-06    0.0011   15.5   0.0   174   295   350   480   263   499 0.65 # 105787 # 107853 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
1_76                 -            689 143460at2            -            439   2.9e-32  109.7   0.2   3   3     0.056        26    1.1   0.0   299   346   610   665   599   669 0.71 # 105787 # 107853 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
1_63                 -            398 143460at2            -            439   9.9e-22   75.0   0.0   1   1   5.7e-24   2.7e-21   73.5   0.0     3   205    14   262    12   273 0.70 # 90753 # 91946 # 1 # ID=1_63;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
1_77                 -            398 143460at2            -            439   9.9e-22   75.0   0.0   1   1   5.7e-24   2.7e-21   73.5   0.0     3   205    14   262    12   273 0.70 # 107946 # 109139 # 1 # ID=1_77;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.371
1_25                 -            643 143460at2            -            439   8.1e-17   58.8   1.0   1   4   9.6e-17   4.5e-14   49.7   0.1     1   124     9   135     9   179 0.86 # 43647 # 45575 # 1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.306
1_25                 -            643 143460at2            -            439   8.1e-17   58.8   1.0   2   4     0.015       7.2    2.9   0.0   152   188   255   291   238   306 0.80 # 43647 # 45575 # 1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.306
