#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig02547_1        -            183 32893at72274         -            340   1.5e-69  233.5   0.1   1   1   1.6e-72   1.9e-69  233.2   0.1     7   153    25   183    20   183 0.92 # 3 # 551 # -1 # ID=2547_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.689
contig00118_5        -            208 32893at72274         -            340   2.6e-44  150.6   5.5   1   1   7.6e-46   9.2e-43  145.5   5.5   208   340    28   199    23   199 0.85 # 4756 # 5379 # -1 # ID=118_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.681
contig01736_2        -            381 32893at72274         -            340     1e-12   46.7   0.0   1   3   1.8e-11   2.2e-08   32.4   0.0     8   100    19   123    13   131 0.78 # 129 # 1271 # 1 # ID=1736_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.703
contig01736_2        -            381 32893at72274         -            340     1e-12   46.7   0.0   2   3      0.45   5.5e+02   -1.7   0.0   153   173   192   212   154   237 0.64 # 129 # 1271 # 1 # ID=1736_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.703
contig01736_2        -            381 32893at72274         -            340     1e-12   46.7   0.0   3   3   7.1e-05     0.085   10.8   0.0   211   253   289   331   269   338 0.93 # 129 # 1271 # 1 # ID=1736_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.703
contig00118_3        -            449 32893at72274         -            340   2.9e-11   41.9   0.9   1   2   2.6e-06    0.0031   15.5   0.1    75   180   106   205    84   230 0.75 # 2314 # 3660 # -1 # ID=118_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.674
contig00118_3        -            449 32893at72274         -            340   2.9e-11   41.9   0.9   2   2   3.7e-09   4.4e-06   24.9   0.1   210   279   267   343   259   359 0.79 # 2314 # 3660 # -1 # ID=118_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.674
contig00871_1        -            447 32893at72274         -            340   2.6e-10   38.8   0.7   1   2   3.2e-06    0.0039   15.2   0.7    21   170    28   167    11   179 0.61 # 1 # 1341 # 1 # ID=871_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.673
contig00871_1        -            447 32893at72274         -            340   2.6e-10   38.8   0.7   2   2   3.7e-07   0.00045   18.3   0.0   207   252   244   289   239   329 0.88 # 1 # 1341 # 1 # ID=871_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.673
contig01726_1        -            249 32893at72274         -            340   3.3e-05   22.0   0.1   1   1   4.1e-08   4.9e-05   21.4   0.1   203   254    62   113    53   152 0.83 # 1 # 747 # 1 # ID=1726_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.708
contig00500_1        -            188 32893at72274         -            340     0.066   11.2   0.0   1   1   8.8e-05      0.11   10.5   0.0    78   103   103   128    97   146 0.88 # 3 # 566 # -1 # ID=500_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.674
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/32893at72274.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/run_pseudomonadales_odb10/hmmer_output/32893at72274.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/32893at72274.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  8 17:01:23 2023
# [ok]
