#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig01579_2        -            338 91428at2             -            555  4.3e-103  344.4   0.2   1   1  9.4e-106  2.6e-102  341.8   0.2     1   255     1   327     1   338 0.83 # 371 # 1384 # 1 # ID=1579_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.638
contig00600_1        -            489 91428at2             -            555   2.4e-71  239.6  24.7   1   5   1.9e-16   5.3e-13   47.0   0.0   285   332     2    55     1    84 0.81 # 1 # 1467 # 1 # ID=600_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.680
contig00600_1        -            489 91428at2             -            555   2.4e-71  239.6  24.7   2   5     2e-09   5.7e-06   23.8   0.1   336   358   103   125    87   151 0.85 # 1 # 1467 # 1 # ID=600_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.680
contig00600_1        -            489 91428at2             -            555   2.4e-71  239.6  24.7   3   5   3.5e-51   9.8e-48  161.7   5.8   359   484   173   318   155   341 0.80 # 1 # 1467 # 1 # ID=600_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.680
contig00600_1        -            489 91428at2             -            555   2.4e-71  239.6  24.7   4   5   0.00073         2    5.5   0.1   479   524   343   388   331   401 0.89 # 1 # 1467 # 1 # ID=600_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.680
contig00600_1        -            489 91428at2             -            555   2.4e-71  239.6  24.7   5   5   3.5e-05     0.099    9.8   1.3   532   555   447   469   420   469 0.72 # 1 # 1467 # 1 # ID=600_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.680
contig00424_3        -            245 91428at2             -            555   1.2e-09   36.0   1.7   1   3   6.5e-06     0.018   12.2   0.0   334   357    27    50    10    62 0.83 # 1377 # 2111 # -1 # ID=424_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.600
contig00424_3        -            245 91428at2             -            555   1.2e-09   36.0   1.7   2   3     0.018        51    0.9   0.0   359   419   110   164   106   177 0.80 # 1377 # 2111 # -1 # ID=424_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.600
contig00424_3        -            245 91428at2             -            555   1.2e-09   36.0   1.7   3   3     2e-08   5.6e-05   20.5   0.3   431   476   195   241   192   244 0.87 # 1377 # 2111 # -1 # ID=424_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.600
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/91428at2.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op/run_bacteria_odb10/hmmer_output/91428at2.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/91428at2.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  1 18:11:38 2023
# [ok]
