#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig01975_1        -            222 23949at72274         -            284  6.1e-100  332.9   2.8   1   1  5.7e-103  6.8e-100  332.8   2.8    81   284     1   218     1   218 0.94 # 3 # 668 # 1 # ID=1975_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.667
contig00218_2        -            319 23949at72274         -            284   3.9e-34  117.0   0.1   1   1   4.1e-37     5e-34  116.7   0.1     2   228    22   269    21   317 0.71 # 2400 # 3356 # 1 # ID=218_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.658
contig00613_1        -            212 23949at72274         -            284   2.8e-33  114.2   0.0   1   1   5.2e-36   6.3e-33  113.1   0.0    64   268     6   210     4   211 0.87 # 171 # 806 # -1 # ID=613_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.684
contig00450_4        -             87 23949at72274         -            284   3.2e-23   81.2   0.0   1   1     3e-26   3.6e-23   81.0   0.0     1    68    16    87    16    87 0.95 # 2798 # 3058 # 1 # ID=450_4;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.670
contig01503_1        -            301 23949at72274         -            284   2.6e-14   52.0   0.0   1   1   2.6e-17   3.1e-14   51.7   0.0    63   266    86   293    28   300 0.75 # 52 # 954 # -1 # ID=1503_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.699
contig00668_3        -            387 23949at72274         -            284    0.0011   17.1   0.0   1   1   1.5e-06    0.0018   16.4   0.0     2   158    13   163    12   168 0.79 # 468 # 1628 # -1 # ID=668_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.692
contig00582_3        -            231 23949at72274         -            284     0.025   12.7   0.2   1   3    0.0011       1.3    7.0   0.0     4    50     2    49     1    59 0.77 # 671 # 1363 # 1 # ID=582_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.672
contig00582_3        -            231 23949at72274         -            284     0.025   12.7   0.2   2   3     0.027        32    2.5   0.0   112   127    99   114    94   132 0.87 # 671 # 1363 # 1 # ID=582_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.672
contig00582_3        -            231 23949at72274         -            284     0.025   12.7   0.2   3   3      0.35   4.3e+02   -1.2   0.0   196   214   175   193   169   198 0.81 # 671 # 1363 # 1 # ID=582_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.672
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/23949at72274.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/run_pseudomonadales_odb10/hmmer_output/23949at72274.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/23949at72274.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  8 17:01:16 2023
# [ok]
