#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig00816_2        -            162 16137at72274         -            322   3.5e-78  261.7   0.1   1   1   3.7e-81   3.9e-78  261.5   0.1     1   148     6   162     6   162 0.96 # 1763 # 2248 # 1 # ID=816_2;partial=01;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.677
contig02593_1        -            162 16137at72274         -            322   6.7e-67  224.6   0.7   1   2   2.9e-42   3.1e-39  133.7   0.2   198   270     1    79     1    82 0.95 # 3 # 488 # 1 # ID=2593_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
contig02593_1        -            162 16137at72274         -            322   6.7e-67  224.6   0.7   2   2   7.4e-29   7.8e-26   89.7   0.0   262   322    88   151    85   151 0.91 # 3 # 488 # 1 # ID=2593_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
contig00626_1        -            231 16137at72274         -            322   2.5e-05   22.3   0.0   1   1   3.4e-08   3.6e-05   21.8   0.0   126   166    20    60     2    65 0.86 # 1 # 693 # 1 # ID=626_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.655
contig02890_2        -            159 16137at72274         -            322   0.00015   19.7   0.0   1   1   1.9e-07    0.0002   19.3   0.0   124   188    77   142    70   147 0.83 # 187 # 663 # 1 # ID=2890_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.713
contig02430_1        -            241 16137at72274         -            322    0.0018   16.2   0.0   1   1     2e-06    0.0021   15.9   0.0   126   170    99   143    66   188 0.84 # 3 # 725 # -1 # ID=2430_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.639
contig01832_1        -            272 16137at72274         -            322     0.002   16.1   0.0   1   1   2.7e-06    0.0029   15.5   0.0   126   168   118   160   110   167 0.89 # 2 # 817 # -1 # ID=1832_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.678
contig01483_2        -            263 16137at72274         -            322     0.014   13.3   0.0   1   1   1.9e-05      0.02   12.7   0.0   124   169    83   128    67   134 0.88 # 673 # 1461 # 1 # ID=1483_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.669
contig02042_1        -            264 16137at72274         -            322     0.082   10.7   0.0   1   1   0.00012      0.12   10.2   0.0   122   163    29    70    16    83 0.89 # 1 # 792 # 1 # ID=2042_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.673
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/run_pseudomonadales_odb10/hmmer_output/16137at72274.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  8 17:01:08 2023
# [ok]
