#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig00613_3        -            272 35711at72274         -            224  2.3e-127  421.7   1.0   1   1  2.8e-130  2.6e-127  421.5   1.0     1   224     1   240     1   240 0.96 # 1161 # 1976 # -1 # ID=613_3;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626
contig00358_2        -            278 35711at72274         -            224   1.9e-15   55.7   0.5   1   1   3.2e-18     3e-15   55.0   0.5     3   214     8   227     6   236 0.76 # 551 # 1384 # 1 # ID=358_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
contig00379_4        -            263 35711at72274         -            224   1.9e-07   29.5   0.2   1   1   9.8e-10   9.2e-07   27.3   0.2     3   158     2   171     1   196 0.67 # 1950 # 2738 # -1 # ID=379_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.663
contig01442_1        -            233 35711at72274         -            224   4.1e-07   28.4   0.4   1   1   7.5e-10     7e-07   27.7   0.4     3    41   100   138    98   149 0.92 # 1 # 699 # -1 # ID=1442_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.684
contig00025_3        -            292 35711at72274         -            224   2.6e-06   25.8   0.3   1   2   5.7e-08   5.3e-05   21.5   0.3     3    41     2    40     1    46 0.92 # 1098 # 1973 # 1 # ID=25_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.685
contig00025_3        -            292 35711at72274         -            224   2.6e-06   25.8   0.3   2   2     0.046        43    2.2   0.0   106   214   114   235   105   241 0.65 # 1098 # 1973 # 1 # ID=25_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.685
contig00054_3        -            289 35711at72274         -            224   5.2e-06   24.8   0.0   1   1   1.2e-08   1.2e-05   23.7   0.0     2    40     3    41     2    72 0.94 # 6342 # 7208 # 1 # ID=54_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.599
contig01317_3        -             54 35711at72274         -            224   6.7e-06   24.5   0.1   1   1   7.8e-09   7.3e-06   24.3   0.1     1    40     1    40     1    46 0.95 # 1447 # 1608 # 1 # ID=1317_3;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.648
contig01114_3        -            166 35711at72274         -            224   0.00027   19.2   0.1   1   1   3.4e-07   0.00032   19.0   0.1     6    46     4    44     2   156 0.84 # 1324 # 1821 # 1 # ID=1114_3;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.620
contig00007_24       -            270 35711at72274         -            224    0.0006   18.1   0.5   1   1     1e-05    0.0094   14.2   0.5     2   158     2   174     1   251 0.68 # 14312 # 15121 # -1 # ID=7_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.567
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/35711at72274.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/run_pseudomonadales_odb10/hmmer_output/35711at72274.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/35711at72274.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  8 17:01:26 2023
# [ok]
