#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig00011_18       -            124 56907at72274         -            157   1.1e-49  166.9   0.5   1   1   3.1e-52   2.4e-49  165.8   0.5     1    99     1   115     1   124 0.86 # 14355 # 14726 # 1 # ID=11_18;partial=01;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.653
contig00206_2        -            201 56907at72274         -            157   3.8e-38  129.4   0.0   1   1   3.1e-40   2.4e-37  126.9   0.0     3   156     4   185     2   186 0.83 # 1599 # 2201 # 1 # ID=206_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.677
contig03159_1        -             62 56907at72274         -            157   3.1e-19   68.0   0.1   1   1   4.7e-22   3.6e-19   67.8   0.1   114   157     1    50     1    50 0.90 # 3 # 188 # 1 # ID=3159_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.645
contig02552_1        -            271 56907at72274         -            157   2.8e-09   35.6   0.0   1   1   3.2e-11   2.5e-08   32.6   0.0     2   149    97   270    96   271 0.65 # 1 # 813 # 1 # ID=2552_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.708
contig00507_3        -            251 56907at72274         -            157     2e-08   32.9   0.0   1   1   3.4e-11   2.6e-08   32.5   0.0    34   142   103   227    73   242 0.74 # 2170 # 2922 # -1 # ID=507_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.668
contig00802_1        -            526 56907at72274         -            157   8.5e-08   30.8   0.1   1   1   2.5e-08   1.9e-05   23.2   0.1    34   156    49   197    10   198 0.71 # 142 # 1719 # -1 # ID=802_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.663
contig00535_2        -            251 56907at72274         -            157   0.00087   17.8   0.0   1   2     2e-05     0.015   13.8   0.0    59    83   104   128    90   143 0.84 # 413 # 1165 # 1 # ID=535_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
contig00535_2        -            251 56907at72274         -            157   0.00087   17.8   0.0   2   2      0.13        97    1.4   0.0   132   150   213   232   188   239 0.70 # 413 # 1165 # 1 # ID=535_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
contig00008_5        -            205 56907at72274         -            157    0.0019   16.7   1.6   1   2    0.0011      0.84    8.1   0.2    15    75    15    87     1    94 0.53 # 3691 # 4305 # -1 # ID=8_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.454
contig00008_5        -            205 56907at72274         -            157    0.0019   16.7   1.6   2   2    0.0016       1.2    7.6   0.1   133   156   179   201   166   202 0.87 # 3691 # 4305 # -1 # ID=8_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.454
contig01169_2        -            239 56907at72274         -            157     0.025   13.0   0.0   1   1   6.2e-05     0.048   12.2   0.0    63    87    82   106    71   117 0.85 # 494 # 1210 # -1 # ID=1169_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.690
contig00070_5        -            241 56907at72274         -            157     0.037   12.5   0.0   1   1     7e-05     0.054   12.0   0.0    55    87    85   117    66   158 0.84 # 1942 # 2664 # -1 # ID=70_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.650
contig00298_3        -            233 56907at72274         -            157     0.039   12.4   0.0   1   1   7.4e-05     0.057   11.9   0.0    58    85    77   104    38   140 0.80 # 2851 # 3549 # 1 # ID=298_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.678
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/56907at72274.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/run_pseudomonadales_odb10/hmmer_output/56907at72274.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/pseudomonadales_odb10/hmms/56907at72274.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op4/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  8 17:01:37 2023
# [ok]
