#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig00118_3        -            449 1093223at2           -            361   6.7e-93  310.8   0.0   1   1   1.4e-95   1.5e-92  309.7   0.0     7   358    12   447     7   448 0.82 # 2314 # 3660 # -1 # ID=118_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.674
contig00871_1        -            447 1093223at2           -            361   1.2e-19   69.8   0.0   1   1     2e-22   2.1e-19   69.0   0.0    35   249    37   297    12   306 0.78 # 1 # 1341 # 1 # ID=871_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.673
contig01736_2        -            381 1093223at2           -            361   3.6e-17   61.7   0.0   1   2   1.5e-06    0.0016   16.8   0.1    74    96   102   124    93   144 0.81 # 129 # 1271 # 1 # ID=1736_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.703
contig01736_2        -            381 1093223at2           -            361   3.6e-17   61.7   0.0   2   2   2.4e-14   2.5e-11   42.5   0.0   111   246   162   335   157   349 0.77 # 129 # 1271 # 1 # ID=1736_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.703
contig00118_5        -            208 1093223at2           -            361   1.4e-09   36.7   0.6   1   1   1.6e-12   1.7e-09   36.4   0.6   202   300    29   135     5   165 0.82 # 4756 # 5379 # -1 # ID=118_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.681
contig01726_1        -            249 1093223at2           -            361   4.8e-08   31.7   0.0   1   1   6.2e-11   6.5e-08   31.2   0.0   203   257    69   128    51   153 0.83 # 1 # 747 # 1 # ID=1726_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.708
contig00500_1        -            188 1093223at2           -            361   2.9e-05   22.5   0.0   1   1   3.2e-08   3.3e-05   22.3   0.0    52   100    78   130    45   147 0.77 # 3 # 566 # -1 # ID=500_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.674
contig00195_5        -            294 1093223at2           -            361   8.2e-05   21.0   0.1   1   2   1.5e-07   0.00016   20.1   0.0    70   100    39    69    17    80 0.81 # 3552 # 4433 # 1 # ID=195_5;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.692
contig00195_5        -            294 1093223at2           -            361   8.2e-05   21.0   0.1   2   2       2.8   2.9e+03   -3.8   0.1   130   146   153   169   152   170 0.88 # 3552 # 4433 # 1 # ID=195_5;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.692
contig02547_1        -            183 1093223at2           -            361   0.00044   18.6   0.0   1   1   4.4e-07   0.00046   18.6   0.0    73   143   102   183    56   183 0.74 # 3 # 551 # -1 # ID=2547_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.689
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/1093223at2.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op/run_bacteria_odb10/hmmer_output/1093223at2.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/1093223at2.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  1 18:11:34 2023
# [ok]
