#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig01008_2        -             70 62565at72274         -             93   7.4e-43  143.7  14.2   1   1     1e-45   7.8e-43  143.6  14.2     1    67     1    67     1    70 0.96 # 1753 # 1962 # 1 # ID=1008_2;partial=01;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.567
contig01186_2        -            113 62565at72274         -             93   2.2e-41  139.0   6.1   1   1   3.6e-44   2.8e-41  138.6   6.1     1    82     1    87     1    95 0.93 # 1318 # 1656 # -1 # ID=1186_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.649
contig00774_3        -             82 62565at72274         -             93   2.8e-05   23.3   8.1   1   2     0.039        30    3.9   0.3    22    45     5    28     2    32 0.80 # 2049 # 2294 # 1 # ID=774_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.642
contig00774_3        -             82 62565at72274         -             93   2.8e-05   23.3   8.1   2   2   1.3e-07   9.9e-05   21.5   8.3     6    57    20    74    15    78 0.83 # 2049 # 2294 # 1 # ID=774_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.642
contig00024_4        -            183 62565at72274         -             93   7.7e-05   21.9   7.2   1   2    0.0021       1.6    8.0   1.1    27    55    46    77    38    87 0.78 # 5259 # 5807 # 1 # ID=24_4;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.632
contig00024_4        -            183 62565at72274         -             93   7.7e-05   21.9   7.2   2   2   2.8e-06    0.0022   17.2   0.6    30    56    91   117    86   129 0.90 # 5259 # 5807 # 1 # ID=24_4;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.632
contig01702_2        -             84 62565at72274         -             93   0.00011   21.4  16.6   1   2   2.8e-07   0.00022   20.4   4.0    37    61     6    30     2    33 0.89 # 427 # 678 # 1 # ID=1702_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
contig01702_2        -             84 62565at72274         -             93   0.00011   21.4  16.6   2   2     0.025        19    4.6   5.2    13    26    46    59    32    71 0.72 # 427 # 678 # 1 # ID=1702_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
contig00581_4        -            189 62565at72274         -             93     0.002   17.3  20.0   1   3       2.4   1.8e+03   -1.8   0.1    39    61    48    70    38    73 0.58 # 1317 # 1883 # 1 # ID=581_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.702
contig00581_4        -            189 62565at72274         -             93     0.002   17.3  20.0   2   3   3.3e-05     0.026   13.8   1.3    22    61    94   134    89   140 0.78 # 1317 # 1883 # 1 # ID=581_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.702
contig00581_4        -            189 62565at72274         -             93     0.002   17.3  20.0   3   3     1e-05    0.0078   15.4  11.5     3    63   107   165   105   170 0.81 # 1317 # 1883 # 1 # ID=581_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.702
contig00782_1        -            758 62565at72274         -             93     0.024   13.9   1.0   1   2   0.00015      0.11   11.7   0.2    38    54   357   373   353   391 0.90 # 49 # 2322 # -1 # ID=782_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.686
contig00782_1        -            758 62565at72274         -             93     0.024   13.9   1.0   2   2      0.83   6.3e+02   -0.3   0.0    38    54   411   427   394   433 0.84 # 49 # 2322 # -1 # ID=782_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.686
contig01650_1        -            435 62565at72274         -             93      0.21   10.9   6.1   1   2   0.00034      0.26   10.6   4.7     9    58   104   155    95   191 0.82 # 29 # 1333 # -1 # ID=1650_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.664
contig01650_1        -            435 62565at72274         -             93      0.21   10.9   6.1   2   2       1.8   1.4e+03   -1.4   0.2    15    49   177   209   157   213 0.67 # 29 # 1333 # -1 # ID=1650_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.664
contig00452_4        -            409 62565at72274         -             93       1.4    8.2   5.2   1   2     0.062        47    3.3   0.4    39    53    24    38    21    61 0.84 # 1155 # 2381 # -1 # ID=452_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.722
contig00452_4        -            409 62565at72274         -             93       1.4    8.2   5.2   2   2    0.0058       4.4    6.6   0.5    35    53    70    88    62    94 0.85 # 1155 # 2381 # -1 # ID=452_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.722
contig00739_2        -            310 62565at72274         -             93       1.5    8.1  15.5   1   3     0.051        39    3.6   0.4    34    65    28    58    19    92 0.67 # 885 # 1814 # 1 # ID=739_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
contig00739_2        -            310 62565at72274         -             93       1.5    8.1  15.5   2   3   0.00042      0.32   10.3   6.4     5    53    92   142    87   163 0.83 # 885 # 1814 # 1 # ID=739_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
contig00739_2        -            310 62565at72274         -             93       1.5    8.1  15.5   3   3       2.2   1.7e+03   -1.7   0.0    17    55   171   180   158   198 0.69 # 885 # 1814 # 1 # ID=739_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.657
contig01471_2        -            357 62565at72274         -             93       5.3    6.4   9.9   1   2     0.027        21    4.5   0.6    34    53   271   290   255   302 0.71 # 399 # 1469 # -1 # ID=1471_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.667
