# BUSCO version is: 5.4.4 
# The lineage dataset is: bacteria_odb10 (Creation date: 2020-03-06, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	contig00217	2637	4250	+	1003.8	505	https://www.orthodb.org/v10?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	contig00217	1	2571	+	987.6	572	https://www.orthodb.org/v10?query=9601at2	DNA-directed RNA polymerase subunit beta
26038at2	Fragmented	contig00981	691	1995	+	107.7	103	https://www.orthodb.org/v10?query=26038at2	phosphoribosylformylglycinamidine synthase
91428at2	Fragmented	contig01579	371	1384	+	344.4	254	https://www.orthodb.org/v10?query=91428at2	alanine--tRNA ligase
95696at2	Missing
143460at2	Missing
182107at2	Missing
219876at2	Fragmented	contig01854	1	858	+	236.5	216	https://www.orthodb.org/v10?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	contig00083	1490	4096	+	519.2	495	https://www.orthodb.org/v10?query=223233at2	DNA topoisomerase I
226836at2	Fragmented	contig01808	1	1206	-	430.3	326	https://www.orthodb.org/v10?query=226836at2	aspartate--tRNA ligase
232152at2	Fragmented	contig00136	4789	5157	+	91.5	82	https://www.orthodb.org/v10?query=232152at2	adenylosuccinate synthase
267682at2	Fragmented	contig01271	1	888	+	194.7	181	https://www.orthodb.org/v10?query=267682at2	amidophosphoribosyltransferase
353391at2	Fragmented	contig00338	1	417	+	203.7	114	https://www.orthodb.org/v10?query=353391at2	serine--tRNA ligase
384865at2	Fragmented	contig01106	1	816	+	127.8	102	https://www.orthodb.org/v10?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	contig00975	3	1202	-	309.7	284	https://www.orthodb.org/v10?query=402899at2	tyrosine--tRNA ligase
430176at2	Missing
462069at2	Fragmented	contig00253	1	447	+	74.1	96	https://www.orthodb.org/v10?query=462069at2	phosphoglycerate kinase
469058at2	Missing
504464at2	Complete	contig00802	142	1719	-	308.3	231	https://www.orthodb.org/v10?query=504464at2	GMP synthase 
505485at2	Fragmented	contig00938	1260	2063	+	163.4	137	https://www.orthodb.org/v10?query=505485at2	DNA repair protein RadA
