#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1_1                  -            440 22240at186802        -            282  5.1e-130  430.7   4.5   1   1  7.4e-132  5.5e-129  427.3   4.5    10   282   103   416    94   416 0.90 # 1 # 1320 # 1 # ID=1_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.301
1_3715               -            331 22240at186802        -            282   1.1e-10   39.1   0.6   1   2      0.94     7e+02   -2.9   0.1   183   192    66    75    26    90 0.48 # 4181978 # 4182970 # 1 # ID=1_3715;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.264
1_3715               -            331 22240at186802        -            282   1.1e-10   39.1   0.6   2   2   1.5e-13   1.1e-10   39.1   0.6    38   153   187   310   171   316 0.78 # 4181978 # 4182970 # 1 # ID=1_3715;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.264
1_2221               -            274 22240at186802        -            282   0.00091   16.4   0.1   1   2   3.5e-06    0.0026   14.9   0.0    29    64    23    59    12    83 0.80 # 2481037 # 2481858 # -1 # ID=1_2221;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.307
1_2221               -            274 22240at186802        -            282   0.00091   16.4   0.1   2   2      0.41     3e+02   -1.7   0.0   140   140   168   168   113   213 0.57 # 2481037 # 2481858 # -1 # ID=1_2221;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.307
1_2682               -            675 22240at186802        -            282    0.0025   15.0   3.2   1   3      0.35   2.6e+02   -1.5   0.1   116   131   225   240   189   277 0.84 # 2997543 # 2999567 # 1 # ID=1_2682;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.261
1_2682               -            675 22240at186802        -            282    0.0025   15.0   3.2   2   3   1.3e-05      0.01   13.0   0.0    12    66   332   389   329   407 0.74 # 2997543 # 2999567 # 1 # ID=1_2682;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.261
1_2682               -            675 22240at186802        -            282    0.0025   15.0   3.2   3   3     0.093        70    0.4   0.1    93   135   565   610   547   619 0.70 # 2997543 # 2999567 # 1 # ID=1_2682;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.261
1_986                -            178 22240at186802        -            282     0.015   12.4   4.2   1   1   3.1e-05     0.023   11.8   4.2    37   192     2   164     1   175 0.71 # 1196999 # 1197532 # 1 # ID=1_986;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.247
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/clostridiales_odb10/hmms/22240at186802.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op3/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op3/run_clostridiales_odb10/hmmer_output/22240at186802.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/clostridiales_odb10/hmms/22240at186802.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op3/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  1 18:12:43 2023
# [ok]
