#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1_3338               -            204 86695at186802        -            145   3.9e-54  180.2   0.1   1   1   2.3e-56   7.1e-54  179.3   0.1     7   135    21   168    16   187 0.85 # 3772449 # 3773060 # -1 # ID=1_3338;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.314
1_2613               -            442 86695at186802        -            145   5.3e-11   40.3   2.2   1   2   4.4e-08   1.4e-05   22.7   0.1    10    56     6    51     2   133 0.78 # 2919230 # 2920555 # -1 # ID=1_2613;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.311
1_2613               -            442 86695at186802        -            145   5.3e-11   40.3   2.2   2   2   4.6e-06    0.0014   16.1   0.2     9    47   178   215   171   313 0.79 # 2919230 # 2920555 # -1 # ID=1_2613;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.311
1_1144               -            299 86695at186802        -            145   1.1e-08   32.7   0.3   1   2      0.15        46    1.6   0.2    83   125    36    83    21    97 0.67 # 1351216 # 1352112 # 1 # ID=1_1144;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
1_1144               -            299 86695at186802        -            145   1.1e-08   32.7   0.3   2   2   5.8e-10   1.8e-07   28.8   0.0     9    67   133   193   127   218 0.81 # 1351216 # 1352112 # 1 # ID=1_1144;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
1_3738               -            460 86695at186802        -            145     6e-07   27.1   3.1   1   1   6.7e-09   2.1e-06   25.4   3.1    12   138   224   364   219   373 0.70 # 4203745 # 4205124 # -1 # ID=1_3738;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.290
1_2120               -            403 86695at186802        -            145   1.8e-05   22.3   2.6   1   2     1e-07   3.1e-05   21.5   0.9     7   121     9   135     3   161 0.63 # 2367075 # 2368283 # 1 # ID=1_2120;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.303
1_2120               -            403 86695at186802        -            145   1.8e-05   22.3   2.6   2   2       4.6   1.4e+03   -3.3   0.0   110   125   225   240   219   252 0.67 # 2367075 # 2368283 # 1 # ID=1_2120;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.303
1_1421               -            707 86695at186802        -            145     7e-05   20.4   0.0   1   1   4.4e-07   0.00014   19.5   0.0     4    62    20    83    17    96 0.74 # 1648530 # 1650650 # -1 # ID=1_1421;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.308
1_2414               -            298 86695at186802        -            145    0.0001   19.9   3.6   1   2   3.5e-07   0.00011   19.8   1.3    12    51     7    47     3   159 0.59 # 2690167 # 2691060 # -1 # ID=1_2414;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.281
1_2414               -            298 86695at186802        -            145    0.0001   19.9   3.6   2   2       2.5   7.7e+02   -2.4   0.0    91   116   212   237   195   240 0.73 # 2690167 # 2691060 # -1 # ID=1_2414;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.281
